TCGA-A5-A0G3	0.722682
TCGA-A5-A0G5	0.315082
TCGA-A5-A0G9	0.305927
TCGA-A5-A0GA	0.125452
TCGA-A5-A0GB	0.396573
TCGA-A5-A0GD	0.23727
TCGA-A5-A0GE	0.528931
TCGA-A5-A0GH	0.396573
TCGA-A5-A0GI	0.354959
TCGA-A5-A0GJ	0.411668
TCGA-A5-A0GM	0.396573
TCGA-A5-A0GN	0.528931
TCGA-A5-A0GP	0.488255
TCGA-A5-A0GQ	0.482494
TCGA-A5-A0GU	0.722682
TCGA-A5-A0GV	0.411668
TCGA-A5-A0GW	0.722682
TCGA-A5-A0GX	0.528931
TCGA-A5-A0R6	0.421749
TCGA-A5-A0R7	0.596973
TCGA-A5-A0R8	0.526653
TCGA-A5-A0R9	0.443507
TCGA-A5-A0RA	0.722682
TCGA-A5-A0VO	0.421749
TCGA-A5-A0VP	0.173612
TCGA-A5-A0VQ	0.649919
TCGA-AJ-A23M	0.162076
TCGA-AP-A051	0.528931
TCGA-AP-A052	0.418332
TCGA-AP-A053	0.135159
TCGA-AP-A054	0.32125
TCGA-AP-A056	0.488255
TCGA-AP-A059	0.191809
TCGA-AP-A05A	0.488255
TCGA-AP-A05D	0.418332
TCGA-AP-A05H	0.328019
TCGA-AP-A05J	0.489106
TCGA-AP-A05N	0.488255
TCGA-AP-A05P	0.674579
TCGA-AP-A0L8	0.421749
TCGA-AP-A0L9	0.19756
TCGA-AP-A0LD	0.722682
TCGA-AP-A0LE	0.396573
TCGA-AP-A0LF	0.370804
TCGA-AP-A0LG	0.674579
TCGA-AP-A0LH	0.528931
TCGA-AP-A0LI	0.482494
TCGA-AP-A0LJ	0.58689
TCGA-AP-A0LL	0.448714
TCGA-AP-A0LM	0.0383569
TCGA-AP-A0LN	0.153498
TCGA-AP-A0LO	0.722682
TCGA-AP-A0LP	0.418332
TCGA-AP-A0LQ	0.328019
TCGA-AP-A0LT	0.396573
TCGA-AP-A0LV	0.413781
TCGA-AP-A1DQ	0.528931
TCGA-AX-A05S	0.31853
TCGA-AX-A05T	0.348333
TCGA-AX-A05U	0.522722
TCGA-AX-A05W	0.722682
TCGA-AX-A05Y	0.399031
TCGA-AX-A05Z	0.329532
TCGA-AX-A060	0.334115
TCGA-AX-A062	0.528931
TCGA-AX-A063	0.32125
TCGA-AX-A064	0.482494
